Model,MSO3012
Firmware Version,2.40

Waveform Type,ANALOG,,,Waveform Type,ANALOG
Point Format,Y,,,Point Format,Y
Horizontal Units,s,,,Horizontal Units,s
Horizontal Scale,0.004,,,Horizontal Scale,0.004
Horizontal Delay,0,,,Horizontal Delay,0
Sample Interval,4e-06,,,Sample Interval,4e-06
Record Length,10000,,,Record Length,10000
Gating,0.0% to 100.0%,,,Gating,0.0% to 100.0%
Probe Attenuation,1,,,Probe Attenuation,1
Vertical Units,V,,,Vertical Units,V
Vertical Offset,0,,,Vertical Offset,0
Vertical Scale,0.2,,,Vertical Scale,2
Vertical Position,2,,,Vertical Position,0
,,,,,
,,,,,
,,,,,
Label,,,,Label,
TIME,CH1,CH2,,TIME,"MATH<CH1-CH2>"
-1.8988e-02,0.372938,4.92422,,-1.8988e-02,-4.55344
-1.8984e-02,0.373656,4.92578,,-1.8984e-02,-4.55375
-1.8980e-02,0.373812,4.93359,,-1.8980e-02,-4.55594
-1.8976e-02,0.37425,4.93984,,-1.8976e-02,-4.55
-1.8972e-02,0.374375,4.93672,,-1.8972e-02,-4.55938
-1.8968e-02,0.375188,4.94375,,-1.8968e-02,-4.57156
-1.8964e-02,0.375531,4.94453,,-1.8964e-02,-4.575
-1.8960e-02,0.375531,4.95078,,-1.8960e-02,-4.57031
-1.8956e-02,0.375594,4.95391,,-1.8956e-02,-4.57437
-1.8952e-02,0.376094,4.9625,,-1.8952e-02,-4.57594
-1.8948e-02,0.377219,4.95859,,-1.8948e-02,-4.58844
-1.8944e-02,0.377656,4.97031,,-1.8944e-02,-4.58781
-1.8940e-02,0.377563,4.97266,,-1.8940e-02,-4.59531
-1.8936e-02,0.377656,4.97734,,-1.8936e-02,-4.59594
-1.8932e-02,0.377781,4.98438,,-1.8932e-02,-4.59813
-1.8928e-02,0.378469,4.98672,,-1.8928e-02,-4.60906
-1.8924e-02,0.378938,4.99453,,-1.8924e-02,-4.61156
-1.8920e-02,0.379344,5.00156,,-1.8920e-02,-4.61062
-1.8916e-02,0.380062,5.00078,,-1.8916e-02,-4.62156
-1.8912e-02,0.380719,5.00781,,-1.8912e-02,-4.62281
-1.8908e-02,0.381125,5.01094,,-1.8908e-02,-4.63063
-1.8904e-02,0.381312,5.01562,,-1.8904e-02,-4.63031
-1.8900e-02,0.381938,5.02109,,-1.8900e-02,-4.63625
-1.8896e-02,0.382188,5.01797,,-1.8896e-02,-4.64125
