Model,MSO3012
Firmware Version,2.40

Waveform Type,ANALOG,,,Waveform Type,ANALOG
Point Format,Y,,,Point Format,Y
Horizontal Units,s,,,Horizontal Units,s
Horizontal Scale,0.004,,,Horizontal Scale,0.004
Horizontal Delay,0,,,Horizontal Delay,0
Sample Interval,4e-06,,,Sample Interval,4e-06
Record Length,10000,,,Record Length,10000
Gating,0.0% to 100.0%,,,Gating,0.0% to 100.0%
Probe Attenuation,1,,,Probe Attenuation,1
Vertical Units,V,,,Vertical Units,V
Vertical Offset,0,,,Vertical Offset,0
Vertical Scale,2,,,Vertical Scale,1
Vertical Position,0,,,Vertical Position,0
,,,,,
,,,,,
,,,,,
Label,,,,Label,
TIME,CH1,CH2,,TIME,"MATH<CH1-CH2>"
-1.9480e-02,-1.38125,1.38781,,-1.9480e-02,-2.77625
-1.9476e-02,-1.38125,1.3925,,-1.9476e-02,-2.77469
-1.9472e-02,-1.38375,1.39,,-1.9472e-02,-2.77813
-1.9468e-02,-1.38062,1.39094,,-1.9468e-02,-2.77844
-1.9464e-02,-1.37781,1.39094,,-1.9464e-02,-2.77687
-1.9460e-02,-1.38031,1.39281,,-1.9460e-02,-2.78125
-1.9456e-02,-1.38062,1.3975,,-1.9456e-02,-2.77969
-1.9452e-02,-1.37969,1.39594,,-1.9452e-02,-2.77375
-1.9448e-02,-1.37625,1.39563,,-1.9448e-02,-2.77312
-1.9444e-02,-1.37625,1.39656,,-1.9444e-02,-2.77375
-1.9440e-02,-1.37719,1.39688,,-1.9440e-02,-2.78
-1.9436e-02,-1.37656,1.39906,,-1.9436e-02,-2.77687
-1.9432e-02,-1.37312,1.39906,,-1.9432e-02,-2.77438
-1.9428e-02,-1.37469,1.39688,,-1.9428e-02,-2.77156
-1.9424e-02,-1.37531,1.39688,,-1.9424e-02,-2.77312
-1.9420e-02,-1.37625,1.3975,,-1.9420e-02,-2.77312
-1.9416e-02,-1.37875,1.39406,,-1.9416e-02,-2.77969
-1.9412e-02,-1.37625,1.3975,,-1.9412e-02,-2.77875
-1.9408e-02,-1.37531,1.39594,,-1.9408e-02,-2.77625
-1.9404e-02,-1.37781,1.39437,,-1.9404e-02,-2.77312
-1.9400e-02,-1.37719,1.39813,,-1.9400e-02,-2.77563
-1.9396e-02,-1.37375,1.39656,,-1.9396e-02,-2.77406
-1.9392e-02,-1.37125,1.39563,,-1.9392e-02,-2.77469
-1.9388e-02,-1.37375,1.39656,,-1.9388e-02,-2.77156
-1.9384e-02,-1.37531,1.39688,,-1.9384e-02,-2.77469
-1.9380e-02,-1.3725,1.39969,,-1.9380e-02,-2.77406
-1.9376e-02,-1.37375,1.39594,,-1.9376e-02,-2.77531
-1.9372e-02,-1.37469,1.3975,,-1.9372e-02,-2.77156
-1.9368e-02,-1.37375,1.3975,,-1.9368e-02,-2.77438
-1.9364e-02,-1.37563,1.395,,-1.9364e-02,-2.77594
-1.9360e-02,-1.37312,1.39844,,-1.9360e-02,-2.77406
-1.9356e-02,-1.37156,1.39813,,-1.9356e-02,-2.77531
-1.9352e-02,-1.37219,1.39594,,-1.9352e-02,-2.77219
-1.9348e-02,-1.37375,1.4,,-1.9348e-02,-2.77219
-1.9344e-02,-1.3725,1.4,,-1.9344e-02,-2.77281
-1.9340e-02,-1.37219,1.39969,,-1.9340e-02,-2.77094
-1.9336e-02,-1.3725,1.39969,,-1.9336e-02,-2.77375
-1.9332e-02,-1.3725,1.39813,,-1.9332e-02,-2.7725
-1.9328e-02,-1.37219,1.39813,,-1.9328e-02,-2.77563
-1.9324e-02,-1.3725,1.39906,,-1.9324e-02,-2.77469
-1.9320e-02,-1.37156,1.4,,-1.9320e-02,-2.77687
-1.9316e-02,-1.37062,1.39906,,-1.9316e-02,-2.77219
-1.9312e-02,-1.37125,1.40063,,-1.9312e-02,-2.77375
-1.9308e-02,-1.37156,1.40219,,-1.9308e-02,-2.77219
-1.9304e-02,-1.3725,1.39969,,-1.9304e-02,-2.77062
-1.9300e-02,-1.37156,1.40094,,-1.9300e-02,-2.77062
-1.9296e-02,-1.36969,1.40094,,-1.9296e-02,-2.77281
-1.9292e-02,-1.37125,1.40375,,-1.9292e-02,-2.77875
-1.9288e-02,-1.36969,1.40219,,-1.9288e-02,-2.77594
-1.9284e-02,-1.36969,1.40406,,-1.9284e-02,-2.77625
-1.9280e-02,-1.37156,1.40156,,-1.9280e-02,-2.77219
-1.9276e-02,-1.37219,1.40219,,-1.9276e-02,-2.77563
-1.9272e-02,-1.37062,1.4025,,-1.9272e-02,-2.77312
-1.9268e-02,-1.37,1.40156,,-1.9268e-02,-2.775
-1.9264e-02,-1.36844,1.40406,,-1.9264e-02,-2.77531
-1.9260e-02,-1.3675,1.4025,,-1.9260e-02,-2.77375
-1.9256e-02,-1.37,1.40469,,-1.9256e-02,-2.77219
-1.9252e-02,-1.36719,1.40375,,-1.9252e-02,-2.77406
-1.9248e-02,-1.36656,1.40156,,-1.9248e-02,-2.77188
-1.9244e-02,-1.36594,1.40563,,-1.9244e-02,-2.77219
-1.9240e-02,-1.36719,1.405,,-1.9240e-02,-2.77312
-1.9236e-02,-1.37,1.40719,,-1.9236e-02,-2.77312
-1.9232e-02,-1.36438,1.40719,,-1.9232e-02,-2.77375
-1.9228e-02,-1.36563,1.40875,,-1.9228e-02,-2.77062
-1.9224e-02,-1.36813,1.40625,,-1.9224e-02,-2.77094
-1.9220e-02,-1.36906,1.40656,,-1.9220e-02,-2.77406
-1.9216e-02,-1.36719,1.40563,,-1.9216e-02,-2.7725
-1.9212e-02,-1.365,1.405,,-1.9212e-02,-2.76875
-1.9208e-02,-1.36656,1.40656,,-1.9208e-02,-2.77469
-1.9204e-02,-1.36906,1.40719,,-1.9204e-02,-2.77375
-1.9200e-02,-1.37,1.40813,,-1.9200e-02,-2.77312
