Model,MSO3012
Firmware Version,2.40

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.002,
Horizontal Delay,0,
Sample Interval,2e-06,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.005,
Vertical Position,2,
,,
,,
,,
Label,,
TIME,CH1,CH2
-9.138e-03,0.00301797,0.0433906
-9.136e-03,0.00303203,0.0435313
-9.134e-03,0.00304297,0.0438203
-9.132e-03,0.00303281,0.0438359
-9.130e-03,0.00304688,0.0438359
-9.128e-03,0.00304688,0.0436172
-9.126e-03,0.00308125,0.0435156
-9.124e-03,0.00307891,0.0433906
-9.122e-03,0.00311953,0.0432656
-9.120e-03,0.00312422,0.0435469
-9.118e-03,0.00313828,0.0436953
-9.116e-03,0.00314844,0.0436328
-9.114e-03,0.00314844,0.0437344
-9.112e-03,0.00318047,0.0434766
-9.110e-03,0.00317813,0.0433906
-9.108e-03,0.00318672,0.0433125
-9.106e-03,0.00320703,0.0432891
-9.104e-03,0.00321094,0.0435078
-9.102e-03,0.00320703,0.0437344
-9.100e-03,0.00321562,0.044125
-9.098e-03,0.00318672,0.0442422
-9.096e-03,0.00317422,0.0443281
-9.094e-03,0.00314375,0.0445313
-9.092e-03,0.00317266,0.0448906
-9.090e-03,0.00319531,0.0451172
-9.088e-03,0.00320938,0.0451172
-9.086e-03,0.00324609,0.0451172
-9.084e-03,0.00327188,0.0449688
-9.082e-03,0.00328672,0.0448906
-9.080e-03,0.00327812,0.04475
-9.078e-03,0.00327578,0.0447734
-9.076e-03,0.00327031,0.0449297
-9.074e-03,0.00325938,0.0452188
-9.072e-03,0.00327578,0.0456797
-9.070e-03,0.00327656,0.0456484
-9.068e-03,0.00329297,0.0457266
-9.066e-03,0.00327656,0.0456641
-9.064e-03,0.00328281,0.0455625
-9.062e-03,0.00328594,0.0456797
-9.060e-03,0.00325625,0.0456797
-9.058e-03,0.00329453,0.0457656
-9.056e-03,0.00331641,0.0460078
-9.054e-03,0.00332266,0.0460078
-9.052e-03,0.00336094,0.0460469
-9.050e-03,0.00335703,0.0459531
-9.048e-03,0.00336953,0.0457109
-9.046e-03,0.00335781,0.0457266
-9.044e-03,0.00335703,0.0458906
-9.042e-03,0.00336563,0.0459688
-9.040e-03,0.00334531,0.0461328
-9.038e-03,0.00336172,0.0463594
-9.036e-03,0.00334922,0.0465547
-9.034e-03,0.00335703,0.0464609
-9.032e-03,0.00337969,0.0465
-9.030e-03,0.0034,0.0465391
-9.028e-03,0.00341641,0.0466641
-9.026e-03,0.00339453,0.0468281
-9.024e-03,0.00337109,0.0469844
-9.022e-03,0.00336719,0.0471484
-9.020e-03,0.00334922,0.047375
-9.018e-03,0.00335313,0.0473906
-9.016e-03,0.00334766,0.0473047
-9.014e-03,0.00336172,0.0472656
-9.012e-03,0.00338438,0.0473359
-9.010e-03,0.00341641,0.047375
-9.008e-03,0.00344531,0.0473281
-9.006e-03,0.00345703,0.0476563
-9.004e-03,0.00346953,0.0478125
-9.002e-03,0.00347891,0.0479609
-9.000e-03,0.00347109,0.04825
-8.998e-03,0.00346719,0.0483281
-8.996e-03,0.00348516,0.0484219
-8.994e-03,0.00346484,0.0481797
-8.992e-03,0.00344922,0.0477344
-8.990e-03,0.00344531,0.0475078
-8.988e-03,0.00347734,0.0474531
-8.986e-03,0.00349141,0.0476406
-8.984e-03,0.00350625,0.0479375
-8.982e-03,0.00349375,0.0483516
-8.980e-03,0.00348516,0.0485547
-8.978e-03,0.003475,0.0486094
-8.976e-03,0.00348125,0.0485859
-8.974e-03,0.00350391,0.0484531
-8.972e-03,0.00355391,0.0484922
-8.970e-03,0.00360313,0.0483438
-8.968e-03,0.003625,0.0482031
-8.966e-03,0.00361563,0.0483047
-8.964e-03,0.00362813,0.0484922
-8.962e-03,0.00362969,0.0484688
-8.960e-03,0.00361484,0.0483438
-8.958e-03,0.00358438,0.0481875
-8.956e-03,0.00358047,0.0482891
-8.954e-03,0.00358672,0.0485078
-8.952e-03,0.00356875,0.0488594
-8.950e-03,0.00355469,0.0492656
-8.948e-03,0.00356406,0.0495625
-8.946e-03,0.00356875,0.0498516
-8.944e-03,0.003575,0.0501563
-8.942e-03,0.00355625,0.0501719
-8.940e-03,0.00357109,0.0500156
-8.938e-03,0.00357422,0.0498672
-8.936e-03,0.00356875,0.0499141
-8.934e-03,0.00356719,0.0498281
-8.932e-03,0.00352422,0.0498438
-8.930e-03,0.00353359,0.0496484
-8.928e-03,0.00352813,0.0495469
-8.926e-03,0.00355703,0.0494453
-8.924e-03,0.00358516,0.0494453
-8.922e-03,0.00361484,0.0493672
-8.920e-03,0.00363828,0.0492656
-8.918e-03,0.00364219,0.0492188
-8.916e-03,0.00367187,0.0493672
-8.914e-03,0.00368672,0.0495469
-8.912e-03,0.00370312,0.0497891
-8.910e-03,0.00370078,0.0499531
-8.908e-03,0.00367891,0.0499297
-8.906e-03,0.00369063,0.0500781
-8.904e-03,0.00369453,0.0503203
-8.902e-03,0.00370312,0.0505625
-8.900e-03,0.00369922,0.0508047
-8.898e-03,0.00370938,0.0506797
-8.896e-03,0.00372656,0.0505547
-8.894e-03,0.00371953,0.0505859
-8.892e-03,0.00373125,0.0507578
